SI,Emoji Unicode,Emoji Name,Emoji Character
205,U+1F1F2-U+1F1FF,:Mozambique:,🇲🇿
206,U+1F936,:Mrs._Claus:,🤶
207,U+1F936-U+1F3FF,:Mrs._Claus_dark_skin_tone:,🤶🏿
208,U+1F936-U+1F3FB,:Mrs._Claus_light_skin_tone:,🤶🏻
209,U+1F936-U+1F3FE,:Mrs._Claus_medium-dark_skin_tone:,🤶🏾
210,U+1F936-U+1F3FC,:Mrs._Claus_medium-light_skin_tone:,🤶🏼
211,U+1F936-U+1F3FD,:Mrs._Claus_medium_skin_tone:,🤶🏽
212,U+1F9D1-U+200D-U+1F384,:Mx_Claus:,🧑‍🎄
213,U+1F9D1-U+1F3FF-U+200D-U+1F384,:Mx_Claus_dark_skin_tone:,🧑🏿‍🎄
214,U+1F9D1-U+1F3FB-U+200D-U+1F384,:Mx_Claus_light_skin_tone:,🧑🏻‍🎄
215,U+1F9D1-U+1F3FE-U+200D-U+1F384,:Mx_Claus_medium-dark_skin_tone:,🧑🏾‍🎄
216,U+1F9D1-U+1F3FC-U+200D-U+1F384,:Mx_Claus_medium-light_skin_tone:,🧑🏼‍🎄
217,U+1F9D1-U+1F3FD-U+200D-U+1F384,:Mx_Claus_medium_skin_tone:,🧑🏽‍🎄
218,U+1F1F2-U+1F1F2,:Myanmar_(Burma):,🇲🇲
219,U+1F195,:NEW_button:,🆕
220,U+1F196,:NG_button:,🆖
221,U+1F1F3-U+1F1E6,:Namibia:,🇳🇦
222,U+1F1F3-U+1F1F7,:Nauru:,🇳🇷
223,U+1F1F3-U+1F1F5,:Nepal:,🇳🇵
224,U+1F1F3-U+1F1F1,:Netherlands:,🇳🇱
225,U+1F1F3-U+1F1E8,:New_Caledonia:,🇳🇨
226,U+1F1F3-U+1F1FF,:New_Zealand:,🇳🇿
227,U+1F1F3-U+1F1EE,:Nicaragua:,🇳🇮
228,U+1F1F3-U+1F1EA,:Niger:,🇳🇪
229,U+1F1F3-U+1F1EC,:Nigeria:,🇳🇬
230,U+1F1F3-U+1F1FA,:Niue:,🇳🇺
231,U+1F1F3-U+1F1EB,:Norfolk_Island:,🇳🇫
232,U+1F1F0-U+1F1F5,:North_Korea:,🇰🇵
233,U+1F1F2-U+1F1F0,:North_Macedonia:,🇲🇰
234,U+1F1F2-U+1F1F5,:Northern_Mariana_Islands:,🇲🇵
235,U+1F1F3-U+1F1F4,:Norway:,🇳🇴
236,U+1F197,:OK_button:,🆗
237,U+1F44C,:OK_hand:,👌
238,U+1F44C-U+1F3FF,:OK_hand_dark_skin_tone:,👌🏿
239,U+1F44C-U+1F3FB,:OK_hand_light_skin_tone:,👌🏻
240,U+1F44C-U+1F3FE,:OK_hand_medium-dark_skin_tone:,👌🏾
241,U+1F44C-U+1F3FC,:OK_hand_medium-light_skin_tone:,👌🏼
242,U+1F44C-U+1F3FD,:OK_hand_medium_skin_tone:,👌🏽
243,U+1F51B,:ON!_arrow:,🔛
244,U+1F17E-U+FE0F,:O_button_(blood_type):,🅾️
245,U+1F17E,:O_button_(blood_type):,🅾
246,U+1F1F4-U+1F1F2,:Oman:,🇴🇲
247,U+26CE,:Ophiuchus:,⛎
248,U+1F17F-U+FE0F,:P_button:,🅿️
249,U+1F17F,:P_button:,🅿
250,U+1F1F5-U+1F1F0,:Pakistan:,🇵🇰
251,U+1F1F5-U+1F1FC,:Palau:,🇵🇼
252,U+1F1F5-U+1F1F8,:Palestinian_Territories:,🇵🇸
253,U+1F1F5-U+1F1E6,:Panama:,🇵🇦
254,U+1F1F5-U+1F1EC,:Papua_New_Guinea:,🇵🇬
255,U+1F1F5-U+1F1FE,:Paraguay:,🇵🇾
256,U+1F1F5-U+1F1EA,:Peru:,🇵🇪
257,U+1F1F5-U+1F1ED,:Philippines:,🇵🇭
258,U+2653,:Pisces:,♓
259,U+1F1F5-U+1F1F3,:Pitcairn_Islands:,🇵🇳
260,U+1F1F5-U+1F1F1,:Poland:,🇵🇱
261,U+1F1F5-U+1F1F9,:Portugal:,🇵🇹
262,U+1F1F5-U+1F1F7,:Puerto_Rico:,🇵🇷
263,U+1F1F6-U+1F1E6,:Qatar:,🇶🇦
264,U+1F1F7-U+1F1F4,:Romania:,🇷🇴
265,U+1F1F7-U+1F1FA,:Russia:,🇷🇺
266,U+1F1F7-U+1F1FC,:Rwanda:,🇷🇼
267,U+1F1F7-U+1F1EA,:Réunion:,🇷🇪
268,U+1F51C,:SOON_arrow:,🔜
269,U+1F198,:SOS_button:,🆘
270,U+2650,:Sagittarius:,♐
271,U+1F1FC-U+1F1F8,:Samoa:,🇼🇸
272,U+1F1F8-U+1F1F2,:San_Marino:,🇸🇲
273,U+1F385,:Santa_Claus:,🎅
274,U+1F385-U+1F3FF,:Santa_Claus_dark_skin_tone:,🎅🏿
275,U+1F385-U+1F3FB,:Santa_Claus_light_skin_tone:,🎅🏻
276,U+1F385-U+1F3FE,:Santa_Claus_medium-dark_skin_tone:,🎅🏾
277,U+1F385-U+1F3FC,:Santa_Claus_medium-light_skin_tone:,🎅🏼
278,U+1F385-U+1F3FD,:Santa_Claus_medium_skin_tone:,🎅🏽
279,U+1F1E8-U+1F1F6,:Sark:,🇨🇶
280,U+1F1F8-U+1F1E6,:Saudi_Arabia:,🇸🇦
281,U+264F,:Scorpio:,♏
282,U+1F3F4-U+E0067-U+E0062-U+E0073-U+E0063-U+E0074-U+E007F,:Scotland:,🏴󠁧󠁢󠁳󠁣󠁴󠁿
283,U+1F1F8-U+1F1F3,:Senegal:,🇸🇳
284,U+1F1F7-U+1F1F8,:Serbia:,🇷🇸
285,U+1F1F8-U+1F1E8,:Seychelles:,🇸🇨
286,U+1F1F8-U+1F1F1,:Sierra_Leone:,🇸🇱
287,U+1F1F8-U+1F1EC,:Singapore:,🇸🇬
288,U+1F1F8-U+1F1FD,:Sint_Maarten:,🇸🇽
289,U+1F1F8-U+1F1F0,:Slovakia:,🇸🇰
290,U+1F1F8-U+1F1EE,:Slovenia:,🇸🇮
291,U+1F1F8-U+1F1E7,:Solomon_Islands:,🇸🇧
292,U+1F1F8-U+1F1F4,:Somalia:,🇸🇴
293,U+1F1FF-U+1F1E6,:South_Africa:,🇿🇦
294,U+1F1EC-U+1F1F8,:South_Georgia_&_South_Sandwich_Islands:,🇬🇸
295,U+1F1F0-U+1F1F7,:South_Korea:,🇰🇷
296,U+1F1F8-U+1F1F8,:South_Sudan:,🇸🇸
297,U+1F1EA-U+1F1F8,:Spain:,🇪🇸
298,U+1F1F1-U+1F1F0,:Sri_Lanka:,🇱🇰
299,U+1F1E7-U+1F1F1,:St._Barthélemy:,🇧🇱
300,U+1F1F8-U+1F1ED,:St._Helena:,🇸🇭
301,U+1F1F0-U+1F1F3,:St._Kitts_&_Nevis:,🇰🇳
302,U+1F1F1-U+1F1E8,:St._Lucia:,🇱🇨
303,U+1F1F2-U+1F1EB,:St._Martin:,🇲🇫
